order_details_id;order_id;pizza_id;order_date;order_time;unit_price;total_price;pizza_size;pizza_category;pizza_ingredients;pizza_name;lead_time
1374;611;southw_ckn_m;2015-01-10 00:00:00;19:58:10;16,75;16,75;M;Chicken;Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce;The Southwest Chicken Pizza;2015-01-10 20:17:29
1375;611;the_greek_xl;2015-01-10 00:00:00;19:58:10;25,5;25,5;XL;Classic;Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions;The Greek Pizza;2015-01-10 20:13:05
1376;612;big_meat_s;2015-01-10 00:00:00;19:58:15;12;12;S;Classic;Bacon, Pepperoni, Italian Sausage, Chorizo Sausage;The Big Meat Pizza;2015-01-10 20:12:00
1377;612;ital_supr_l;2015-01-10 00:00:00;19:58:15;20,75;20,75;L;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza;2015-01-10 20:14:51
1378;612;mexicana_l;2015-01-10 00:00:00;19:58:15;20,25;20,25;L;Veggie;Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic;The Mexicana Pizza;2015-01-10 20:18:43
1379;612;soppressata_s;2015-01-10 00:00:00;19:58:15;12,5;12,5;S;Supreme;Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic;The Soppressata Pizza;2015-01-10 20:14:27
1380;613;napolitana_s;2015-01-10 00:00:00;20:10:44;12;12;S;Classic;Tomatoes, Anchovies, Green Olives, Red Onions, Garlic;The Napolitana Pizza;2015-01-10 20:22:37
1381;614;peppr_salami_l;2015-01-10 00:00:00;20:12:33;20,75;20,75;L;Supreme;Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic;The Pepper Salami Pizza;2015-01-10 20:28:39
1382;615;cali_ckn_l;2015-01-10 00:00:00;20:14:03;20,75;20,75;L;Chicken;Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese;The California Chicken Pizza;2015-01-10 20:39:15
1383;615;pep_msh_pep_m;2015-01-10 00:00:00;20:14:03;14,5;14,5;M;Classic;Pepperoni, Mushrooms, Green Peppers;The Pepperoni, Mushroom, and Peppers Pizza;2015-01-10 20:35:00
1384;616;prsc_argla_l;2015-01-10 00:00:00;20:20:10;20,75;20,75;L;Supreme;Prosciutto di San Daniele, Arugula, Mozzarella Cheese;The Prosciutto and Arugula Pizza;2015-01-10 20:38:48
1385;616;veggie_veg_m;2015-01-10 00:00:00;20:20:10;16;16;M;Veggie;Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic;The Vegetables + Vegetables Pizza;2015-01-10 20:34:27
1386;617;ckn_pesto_l;2015-01-10 00:00:00;20:27:26;20,75;20,75;L;Chicken;Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce;The Chicken Pesto Pizza;2015-01-10 20:48:19
1387;617;southw_ckn_m;2015-01-10 00:00:00;20:27:26;16,75;16,75;M;Chicken;Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce;The Southwest Chicken Pizza;2015-01-10 20:43:58
1388;618;prsc_argla_m;2015-01-10 00:00:00;20:31:14;16,5;16,5;M;Supreme;Prosciutto di San Daniele, Arugula, Mozzarella Cheese;The Prosciutto and Arugula Pizza;2015-01-10 20:51:12
1389;618;spin_pesto_m;2015-01-10 00:00:00;20:31:14;16,5;16,5;M;Veggie;Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce;The Spinach Pesto Pizza;2015-01-10 20:47:34
1390;619;ital_cpcllo_l;2015-01-10 00:00:00;20:41:58;20,5;20,5;L;Classic;Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano;The Italian Capocollo Pizza;2015-01-10 20:56:47
1391;620;bbq_ckn_l;2015-01-10 00:00:00;20:45:45;20,75;20,75;L;Chicken;Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce;The Barbecue Chicken Pizza;2015-01-10 21:03:22
1392;620;cali_ckn_m;2015-01-10 00:00:00;20:45:45;16,75;16,75;M;Chicken;Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese;The California Chicken Pizza;2015-01-10 21:02:49
1393;620;peppr_salami_m;2015-01-10 00:00:00;20:45:45;16,5;16,5;M;Supreme;Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic;The Pepper Salami Pizza;2015-01-10 21:01:34
1394;620;the_greek_s;2015-01-10 00:00:00;20:45:45;12;12;S;Classic;Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions;The Greek Pizza;2015-01-10 21:03:21
1395;621;calabrese_m;2015-01-10 00:00:00;20:49:29;16,25;16,25;M;Supreme;慛duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic;The Calabrese Pizza;2015-01-10 21:04:18
1396;621;four_cheese_l;2015-01-10 00:00:00;20:49:29;17,95;17,95;L;Veggie;Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic;The Four Cheese Pizza;2015-01-10 21:06:39
1397;621;mexicana_l;2015-01-10 00:00:00;20:49:29;20,25;20,25;L;Veggie;Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic;The Mexicana Pizza;2015-01-10 21:09:49
1398;621;spicy_ital_l;2015-01-10 00:00:00;20:49:29;20,75;20,75;L;Supreme;Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic;The Spicy Italian Pizza;2015-01-10 21:05:13
1399;622;ital_supr_m;2015-01-10 00:00:00;20:57:41;16,5;16,5;M;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza;2015-01-10 21:08:58
1400;622;spicy_ital_l;2015-01-10 00:00:00;20:57:41;20,75;20,75;L;Supreme;Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic;The Spicy Italian Pizza;2015-01-10 21:18:31
1401;623;cali_ckn_l;2015-01-10 00:00:00;21:21:21;20,75;20,75;L;Chicken;Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese;The California Chicken Pizza;2015-01-10 21:36:32
1402;623;hawaiian_l;2015-01-10 00:00:00;21:21:21;16,5;16,5;L;Classic;Sliced Ham, Pineapple, Mozzarella Cheese;The Hawaiian Pizza;2015-01-10 21:38:55
1403;624;cali_ckn_m;2015-01-10 00:00:00;21:22:44;16,75;16,75;M;Chicken;Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese;The California Chicken Pizza;2015-01-10 21:40:55
1404;624;veggie_veg_m;2015-01-10 00:00:00;21:22:44;16;16;M;Veggie;Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic;The Vegetables + Vegetables Pizza;2015-01-10 21:36:09
1405;625;spinach_fet_l;2015-01-10 00:00:00;21:50:23;20,25;20,25;L;Veggie;Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic;The Spinach and Feta Pizza;2015-01-10 22:10:18
1406;625;spinach_supr_m;2015-01-10 00:00:00;21:50:23;16,5;16,5;M;Supreme;Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese;The Spinach Supreme Pizza;2015-01-10 22:07:00
1407;626;classic_dlx_m;2015-01-10 00:00:00;21:55:12;16;16;M;Classic;Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon;The Classic Deluxe Pizza;2015-01-10 22:09:24
1408;626;four_cheese_m;2015-01-10 00:00:00;21:55:12;14,75;14,75;M;Veggie;Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic;The Four Cheese Pizza;2015-01-10 22:17:35
1409;627;the_greek_l;2015-01-10 00:00:00;22:18:35;20,5;20,5;L;Classic;Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions;The Greek Pizza;2015-01-10 22:35:48
1410;627;the_greek_m;2015-01-10 00:00:00;22:18:35;16;16;M;Classic;Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions;The Greek Pizza;2015-01-10 22:34:17
1411;628;classic_dlx_l;2015-01-10 00:00:00;22:47:17;20,5;20,5;L;Classic;Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon;The Classic Deluxe Pizza;2015-01-10 23:06:19
1412;628;ital_veggie_s;2015-01-10 00:00:00;22:47:17;12,75;12,75;S;Veggie;Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce;The Italian Vegetables Pizza;2015-01-10 23:06:00
1413;628;the_greek_s;2015-01-10 00:00:00;22:47:17;12;12;S;Classic;Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions;The Greek Pizza;2015-01-10 23:02:48
1414;628;veggie_veg_s;2015-01-10 00:00:00;22:47:17;12;12;S;Veggie;Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic;The Vegetables + Vegetables Pizza;2015-01-10 23:02:49
1415;629;calabrese_m;2015-01-10 00:00:00;22:48:39;16,25;16,25;M;Supreme;慛duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic;The Calabrese Pizza;2015-01-10 23:05:16
1416;629;five_cheese_l;2015-01-10 00:00:00;22:48:39;18,5;18,5;L;Veggie;Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic;The Five Cheese Pizza;2015-01-10 23:04:03
1417;629;pep_msh_pep_m;2015-01-10 00:00:00;22:48:39;14,5;14,5;M;Classic;Pepperoni, Mushrooms, Green Peppers;The Pepperoni, Mushroom, and Peppers Pizza;2015-01-10 23:04:13
1418;629;spin_pesto_l;2015-01-10 00:00:00;22:48:39;20,75;20,75;L;Veggie;Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce;The Spinach Pesto Pizza;2015-01-10 23:08:49
1419;630;sicilian_s;2015-01-11 00:00:00;11:42:08;12,25;12,25;S;Supreme;Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic;The Sicilian Pizza;2015-01-11 12:01:46
1420;631;pepperoni_l;2015-01-11 00:00:00;11:44:36;15,25;15,25;L;Classic;Mozzarella Cheese, Pepperoni;The Pepperoni Pizza;2015-01-11 11:59:00
1421;632;classic_dlx_s;2015-01-11 00:00:00;11:44:52;12;12;S;Classic;Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon;The Classic Deluxe Pizza;2015-01-11 12:01:24
1422;633;mediterraneo_l;2015-01-11 00:00:00;11:51:45;20,25;20,25;L;Veggie;Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions;The Mediterranean Pizza;2015-01-11 12:06:15
1423;633;pepperoni_l;2015-01-11 00:00:00;11:51:45;15,25;15,25;L;Classic;Mozzarella Cheese, Pepperoni;The Pepperoni Pizza;2015-01-11 12:04:45
1424;633;peppr_salami_l;2015-01-11 00:00:00;11:51:45;20,75;20,75;L;Supreme;Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic;The Pepper Salami Pizza;2015-01-11 12:04:24
1425;634;pepperoni_l;2015-01-11 00:00:00;12:14:15;15,25;15,25;L;Classic;Mozzarella Cheese, Pepperoni;The Pepperoni Pizza;2015-01-11 12:27:46
1426;635;calabrese_l;2015-01-11 00:00:00;12:18:31;20,25;20,25;L;Supreme;慛duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic;The Calabrese Pizza;2015-01-11 12:33:14
1427;635;cali_ckn_s;2015-01-11 00:00:00;12:18:31;12,75;25,5;S;Chicken;Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese;The California Chicken Pizza;2015-01-11 12:38:31
1428;635;hawaiian_s;2015-01-11 00:00:00;12:18:31;10,5;10,5;S;Classic;Sliced Ham, Pineapple, Mozzarella Cheese;The Hawaiian Pizza;2015-01-11 12:38:49
1429;635;mexicana_l;2015-01-11 00:00:00;12:18:31;20,25;20,25;L;Veggie;Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic;The Mexicana Pizza;2015-01-11 12:36:17
1430;635;pepperoni_m;2015-01-11 00:00:00;12:18:31;12,5;12,5;M;Classic;Mozzarella Cheese, Pepperoni;The Pepperoni Pizza;2015-01-11 12:32:11
1431;635;pepperoni_s;2015-01-11 00:00:00;12:18:31;9,75;9,75;S;Classic;Mozzarella Cheese, Pepperoni;The Pepperoni Pizza;2015-01-11 12:35:27
1432;635;peppr_salami_s;2015-01-11 00:00:00;12:18:31;12,5;12,5;S;Supreme;Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic;The Pepper Salami Pizza;2015-01-11 12:33:37
1433;635;sicilian_s;2015-01-11 00:00:00;12:18:31;12,25;12,25;S;Supreme;Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic;The Sicilian Pizza;2015-01-11 12:36:45
1434;635;spinach_fet_l;2015-01-11 00:00:00;12:18:31;20,25;20,25;L;Veggie;Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic;The Spinach and Feta Pizza;2015-01-11 12:38:21
1435;635;spinach_fet_s;2015-01-11 00:00:00;12:18:31;12;12;S;Veggie;Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic;The Spinach and Feta Pizza;2015-01-11 12:36:05
1436;636;classic_dlx_m;2015-01-11 00:00:00;12:34:44;16;16;M;Classic;Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon;The Classic Deluxe Pizza;2015-01-11 12:53:21
1437;637;the_greek_l;2015-01-11 00:00:00;12:44:10;20,5;20,5;L;Classic;Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions;The Greek Pizza;2015-01-11 13:05:57
1438;637;veggie_veg_m;2015-01-11 00:00:00;12:44:10;16;16;M;Veggie;Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic;The Vegetables + Vegetables Pizza;2015-01-11 12:55:40
1439;638;mexicana_l;2015-01-11 00:00:00;12:49:26;20,25;20,25;L;Veggie;Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic;The Mexicana Pizza;2015-01-11 13:08:26
1440;639;pep_msh_pep_m;2015-01-11 00:00:00;13:23:21;14,5;14,5;M;Classic;Pepperoni, Mushrooms, Green Peppers;The Pepperoni, Mushroom, and Peppers Pizza;2015-01-11 13:39:12
1441;640;cali_ckn_s;2015-01-11 00:00:00;13:28:08;12,75;12,75;S;Chicken;Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese;The California Chicken Pizza;2015-01-11 13:52:30
1442;640;ckn_pesto_l;2015-01-11 00:00:00;13:28:08;20,75;20,75;L;Chicken;Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce;The Chicken Pesto Pizza;2015-01-11 13:39:50
1443;640;napolitana_s;2015-01-11 00:00:00;13:28:08;12;12;S;Classic;Tomatoes, Anchovies, Green Olives, Red Onions, Garlic;The Napolitana Pizza;2015-01-11 13:47:03
1444;641;pepperoni_m;2015-01-11 00:00:00;13:37:46;12,5;12,5;M;Classic;Mozzarella Cheese, Pepperoni;The Pepperoni Pizza;2015-01-11 13:50:49
1445;641;southw_ckn_l;2015-01-11 00:00:00;13:37:46;20,75;20,75;L;Chicken;Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce;The Southwest Chicken Pizza;2015-01-11 13:52:36
1446;641;spin_pesto_m;2015-01-11 00:00:00;13:37:46;16,5;16,5;M;Veggie;Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce;The Spinach Pesto Pizza;2015-01-11 13:52:59
1447;641;spinach_fet_s;2015-01-11 00:00:00;13:37:46;12;12;S;Veggie;Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic;The Spinach and Feta Pizza;2015-01-11 13:52:54
1448;642;calabrese_m;2015-01-11 00:00:00;13:40:00;16,25;16,25;M;Supreme;慛duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic;The Calabrese Pizza;2015-01-11 13:51:48
1449;642;cali_ckn_l;2015-01-11 00:00:00;13:40:00;20,75;20,75;L;Chicken;Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese;The California Chicken Pizza;2015-01-11 13:56:33
1450;642;ital_supr_l;2015-01-11 00:00:00;13:40:00;20,75;20,75;L;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza;2015-01-11 13:57:44
1451;642;soppressata_l;2015-01-11 00:00:00;13:40:00;20,75;20,75;L;Supreme;Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic;The Soppressata Pizza;2015-01-11 13:55:03
1452;643;spinach_fet_m;2015-01-11 00:00:00;13:43:19;16;16;M;Veggie;Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic;The Spinach and Feta Pizza;2015-01-11 13:59:22
1453;644;ital_supr_l;2015-01-11 00:00:00;13:52:52;20,75;20,75;L;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza;2015-01-11 14:08:12
1454;644;peppr_salami_m;2015-01-11 00:00:00;13:52:52;16,5;16,5;M;Supreme;Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic;The Pepper Salami Pizza;2015-01-11 14:04:29
1455;645;bbq_ckn_m;2015-01-11 00:00:00;14:03:45;16,75;16,75;M;Chicken;Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce;The Barbecue Chicken Pizza;2015-01-11 14:22:13
1456;645;big_meat_s;2015-01-11 00:00:00;14:03:45;12;12;S;Classic;Bacon, Pepperoni, Italian Sausage, Chorizo Sausage;The Big Meat Pizza;2015-01-11 14:24:01
1457;646;hawaiian_s;2015-01-11 00:00:00;14:07:26;10,5;10,5;S;Classic;Sliced Ham, Pineapple, Mozzarella Cheese;The Hawaiian Pizza;2015-01-11 14:21:01
1458;646;thai_ckn_l;2015-01-11 00:00:00;14:07:26;20,75;20,75;L;Chicken;Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce;The Thai Chicken Pizza;2015-01-11 14:23:56
1459;647;hawaiian_s;2015-01-11 00:00:00;14:07:35;10,5;10,5;S;Classic;Sliced Ham, Pineapple, Mozzarella Cheese;The Hawaiian Pizza;2015-01-11 14:24:47
1460;648;four_cheese_l;2015-01-11 00:00:00;14:17:17;17,95;17,95;L;Veggie;Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic;The Four Cheese Pizza;2015-01-11 14:35:47
1461;648;pepperoni_m;2015-01-11 00:00:00;14:17:17;12,5;12,5;M;Classic;Mozzarella Cheese, Pepperoni;The Pepperoni Pizza;2015-01-11 14:29:39
1462;649;cali_ckn_s;2015-01-11 00:00:00;14:29:23;12,75;12,75;S;Chicken;Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese;The California Chicken Pizza;2015-01-11 14:43:33
1463;649;pepperoni_m;2015-01-11 00:00:00;14:29:23;12,5;12,5;M;Classic;Mozzarella Cheese, Pepperoni;The Pepperoni Pizza;2015-01-11 14:40:38
1464;649;peppr_salami_m;2015-01-11 00:00:00;14:29:23;16,5;16,5;M;Supreme;Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic;The Pepper Salami Pizza;2015-01-11 14:45:41
1465;649;sicilian_s;2015-01-11 00:00:00;14:29:23;12,25;12,25;S;Supreme;Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic;The Sicilian Pizza;2015-01-11 14:45:54
1466;650;pepperoni_m;2015-01-11 00:00:00;14:34:05;12,5;12,5;M;Classic;Mozzarella Cheese, Pepperoni;The Pepperoni Pizza;2015-01-11 14:48:00
1467;651;bbq_ckn_s;2015-01-11 00:00:00;14:49:35;12,75;12,75;S;Chicken;Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce;The Barbecue Chicken Pizza;2015-01-11 15:06:39
1468;651;calabrese_m;2015-01-11 00:00:00;14:49:35;16,25;16,25;M;Supreme;慛duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic;The Calabrese Pizza;2015-01-11 15:07:08
1469;651;pepperoni_m;2015-01-11 00:00:00;14:49:35;12,5;12,5;M;Classic;Mozzarella Cheese, Pepperoni;The Pepperoni Pizza;2015-01-11 15:10:56
1470;652;big_meat_s;2015-01-11 00:00:00;16:03:38;12;12;S;Classic;Bacon, Pepperoni, Italian Sausage, Chorizo Sausage;The Big Meat Pizza;2015-01-11 16:22:25
1471;652;ckn_alfredo_m;2015-01-11 00:00:00;16:03:38;16,75;16,75;M;Chicken;Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce;The Chicken Alfredo Pizza;2015-01-11 16:23:48
1472;652;ckn_pesto_s;2015-01-11 00:00:00;16:03:38;12,75;12,75;S;Chicken;Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce;The Chicken Pesto Pizza;2015-01-11 16:18:53
1473;652;prsc_argla_s;2015-01-11 00:00:00;16:03:38;12,5;12,5;S;Supreme;Prosciutto di San Daniele, Arugula, Mozzarella Cheese;The Prosciutto and Arugula Pizza;2015-01-11 16:19:44
1474;653;thai_ckn_s;2015-01-11 00:00:00;16:18:23;12,75;12,75;S;Chicken;Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce;The Thai Chicken Pizza;2015-01-11 16:26:35
1475;654;mexicana_l;2015-01-11 00:00:00;16:34:07;20,25;20,25;L;Veggie;Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic;The Mexicana Pizza;2015-01-11 16:52:33
1476;654;sicilian_l;2015-01-11 00:00:00;16:34:07;20,25;20,25;L;Supreme;Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic;The Sicilian Pizza;2015-01-11 16:55:24
1477;654;spin_pesto_m;2015-01-11 00:00:00;16:34:07;16,5;16,5;M;Veggie;Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce;The Spinach Pesto Pizza;2015-01-11 16:51:47
1478;655;ital_supr_m;2015-01-11 00:00:00;16:43:33;16,5;16,5;M;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza;2015-01-11 17:01:49
1479;656;thai_ckn_l;2015-01-11 00:00:00;16:44:49;20,75;20,75;L;Chicken;Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce;The Thai Chicken Pizza;2015-01-11 17:01:26
1480;656;veggie_veg_l;2015-01-11 00:00:00;16:44:49;20,25;20,25;L;Veggie;Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic;The Vegetables + Vegetables Pizza;2015-01-11 17:05:21
1481;657;bbq_ckn_m;2015-01-11 00:00:00;16:45:47;16,75;16,75;M;Chicken;Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce;The Barbecue Chicken Pizza;2015-01-11 16:59:17
1482;657;classic_dlx_m;2015-01-11 00:00:00;16:45:47;16;16;M;Classic;Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon;The Classic Deluxe Pizza;2015-01-11 17:05:44
1483;658;napolitana_m;2015-01-11 00:00:00;16:55:24;16;16;M;Classic;Tomatoes, Anchovies, Green Olives, Red Onions, Garlic;The Napolitana Pizza;2015-01-11 17:10:35
1484;658;peppr_salami_s;2015-01-11 00:00:00;16:55:24;12,5;12,5;S;Supreme;Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic;The Pepper Salami Pizza;2015-01-11 17:10:49
1485;658;veggie_veg_m;2015-01-11 00:00:00;16:55:24;16;16;M;Veggie;Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic;The Vegetables + Vegetables Pizza;2015-01-11 17:12:24
1486;659;ital_supr_m;2015-01-11 00:00:00;16:56:39;16,5;16,5;M;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza;2015-01-11 17:12:21
1487;659;sicilian_l;2015-01-11 00:00:00;16:56:39;20,25;20,25;L;Supreme;Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic;The Sicilian Pizza;2015-01-11 17:15:20
1488;660;bbq_ckn_s;2015-01-11 00:00:00;17:09:36;12,75;12,75;S;Chicken;Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce;The Barbecue Chicken Pizza;2015-01-11 17:28:28
1489;660;ital_supr_m;2015-01-11 00:00:00;17:09:36;16,5;16,5;M;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza;2015-01-11 17:23:28
1490;661;napolitana_s;2015-01-11 00:00:00;17:18:14;12;12;S;Classic;Tomatoes, Anchovies, Green Olives, Red Onions, Garlic;The Napolitana Pizza;2015-01-11 17:36:23
1491;662;bbq_ckn_l;2015-01-11 00:00:00;17:21:49;20,75;20,75;L;Chicken;Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce;The Barbecue Chicken Pizza;2015-01-11 17:37:12
1492;662;prsc_argla_s;2015-01-11 00:00:00;17:21:49;12,5;12,5;S;Supreme;Prosciutto di San Daniele, Arugula, Mozzarella Cheese;The Prosciutto and Arugula Pizza;2015-01-11 17:42:34
1493;663;four_cheese_l;2015-01-11 00:00:00;17:29:14;17,95;17,95;L;Veggie;Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic;The Four Cheese Pizza;2015-01-11 17:44:31
1494;664;calabrese_m;2015-01-11 00:00:00;17:35:14;16,25;16,25;M;Supreme;慛duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic;The Calabrese Pizza;2015-01-11 17:48:48
1495;664;ital_supr_l;2015-01-11 00:00:00;17:35:14;20,75;20,75;L;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza;2015-01-11 17:49:57
1496;664;pepperoni_l;2015-01-11 00:00:00;17:35:14;15,25;15,25;L;Classic;Mozzarella Cheese, Pepperoni;The Pepperoni Pizza;2015-01-11 17:53:47
1497;665;bbq_ckn_m;2015-01-11 00:00:00;17:42:23;16,75;16,75;M;Chicken;Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce;The Barbecue Chicken Pizza;2015-01-11 17:56:37
